x,y,z,state
1.476364,0.446136,-0.99588,running
0.7827609999999999,0.396545,-0.0390779999999999,running
0.440018,0.551651,0.005417,running
0.505142,0.337753,-0.580048,running
0.53009,-0.37117,-0.241348,running
0.701294,-0.801147,0.095947,running
0.5473939999999999,-0.684631,-0.130661,running
0.17897,0.087372,-0.572906,running
0.392441,1.230255,-0.092484,running
0.53215,1.992249,0.372467,running
0.449875,1.99028,-0.07608,running
1.248566,2.564545,-0.579025,running
1.950302,2.625931,-0.7147220000000001,running
1.924957,1.87764,-0.287079,running
1.339828,2.025818,-0.365799,running
0.760178,1.460709,-0.582062,running
0.615097,1.053726,-0.362228,running
0.723785,0.7523350000000001,0.115051,running
0.386887,-0.122314,0.313065,running
-0.38414,-0.848358,0.679337,running
-1.382431,-1.156555,0.893616,running
-1.370773,-0.256897,0.368958,running
-0.195251,0.140518,0.4023739999999999,running
0.192261,0.322342,0.0847779999999999,running
0.329865,0.21199,-0.332916,running
1.244247,0.5930479999999999,-0.324142,running
1.5961299999999998,1.188675,-0.1801299999999999,running
1.7708279999999998,4.071915,-1.995071,running
0.323364,2.0393830000000004,0.4871979999999999,running
-0.560181,1.202835,0.902161,running
-0.0583039999999999,0.2307429999999999,1.55452,running
-0.000168,-0.093689,0.732651,running
0.322723,0.530945,0.490585,running
0.83609,2.124512,0.669006,running
1.464798,2.768539,0.280884,running
3.993607,1.201584,-2.779404,running
1.7861630000000002,0.475464,-1.200607,running
0.811951,0.477859,-0.407501,running
0.5084380000000001,0.761658,-0.128128,running
0.440308,0.5383760000000001,-0.700577,running
0.508835,-0.101654,-0.193039,running
0.66394,-0.7417600000000001,0.220123,running
0.664017,-0.963272,0.2496949999999999,running
0.485886,-0.296692,-0.128342,running
0.357468,0.6222989999999999,-1.11058,running
0.66597,1.707123,-0.186966,running
0.492432,1.863129,-0.145523,running
1.127228,2.1996,-0.237701,running
2.057755,2.858337,-0.147095,running
2.15242,2.493439,0.030075,running
1.35022,2.258926,-0.743011,running
0.986511,1.610901,-0.590271,running
0.8400120000000001,1.006012,-0.465805,running
0.8342129999999999,0.675613,-0.295502,running
0.555405,0.067505,0.121552,running
-0.0026089999999999,-0.269379,0.389008,running
-0.7501220000000001,-0.599838,0.334915,running
-1.238846,-0.6952510000000001,0.785431,running
-0.956436,-0.123245,0.6069640000000001,running
-0.365036,0.29921,0.067261,running
0.026108,0.325256,-0.043518,running
0.527252,0.358002,-0.6177060000000001,running
1.265213,0.256653,-0.4903109999999999,running
1.996826,2.170242,0.094666,running
1.959488,3.343689,0.108414,running
-0.540298,1.34082,-0.575195,running
0.370987,1.224731,0.971573,running
0.083069,0.108368,1.4577790000000002,running
0.121948,0.130341,0.736069,running
0.803162,1.255371,0.876785,running
0.599899,2.327515,0.4341279999999999,running
2.59761,2.430969,-0.130569,running
2.588516,1.340805,-1.335831,running
1.049942,0.3797,-0.919769,running
0.621796,0.668976,-0.139236,running
0.066559,0.588348,-0.579407,running
0.555557,0.178268,-0.666855,running
0.517654,-0.4385989999999999,-0.039749,running
0.625366,-0.847305,0.180527,running
0.5454100000000001,-0.669891,0.134644,running
0.40242,-0.096329,-0.218018,running
0.28923,0.609833,-0.776947,running
0.6793520000000001,1.572876,-0.046478,running
0.47818,1.627792,-0.052353,running
1.262589,2.169418,-0.202713,running
2.481384,2.584381,-0.10141,running
2.380188,2.096542,-0.316284,running
1.505386,2.212326,-0.859009,running
1.027084,1.775864,-0.627625,running
0.909286,1.061111,-0.37558,running
0.7772979999999999,0.436996,-0.169464,running
0.473541,0.015198,0.080292,running
-0.404617,0.007339,0.260132,running
-0.771133,-0.08934,0.4524229999999999,running
-1.186462,-0.644012,0.913345,running
-0.899963,-0.361404,0.71936,running
0.0014039999999999,0.301086,0.115814,running
0.423386,0.255447,-0.453384,running
1.087646,-0.040466,-0.275574,running
1.57901,0.242722,-0.226059,running
1.919693,2.179001,0.342621,running
1.56398,3.535217,-1.397034,running
-0.6831050000000001,1.544357,-0.930145,running
0.148438,0.7636109999999999,2.105209,running
-0.179092,-0.048004,1.3882139999999998,running
0.044601,0.43309,0.57457,running
0.743484,1.54454,0.875641,running
1.034561,2.29837,0.126968,running
3.045914,1.3528440000000002,-0.1060789999999999,running
2.665878,0.950211,-1.131073,running
1.185883,0.572281,-0.899841,running
0.5939479999999999,0.738647,-0.5276489999999999,running
0.332123,0.4977109999999999,-0.214371,running
0.411423,0.176788,-0.4805149999999999,running
0.503464,-0.4362029999999999,0.047302,running
0.5432130000000001,-0.8837889999999999,0.221771,running
0.352142,-0.368286,-0.115097,running
0.290802,0.385483,-1.054993,running
0.739075,1.6654209999999998,-0.144485,running
0.513336,2.152557,0.0772549999999999,running
0.944489,2.32251,-0.1802369999999999,running
1.552597,2.713058,-0.5444640000000001,running
1.970306,2.172119,-0.2974699999999999,running
1.810379,1.846985,-0.177322,running
1.048431,1.7153470000000002,-0.757706,running
0.866592,0.792191,-0.463608,running
0.778046,0.506912,-0.155243,running
0.5776060000000001,0.145615,0.080765,running
0.067276,-0.021591,0.364807,running
-0.709076,-0.217346,0.521103,running
-1.118134,-0.596054,1.017731,running
-0.8302,-0.2772219999999999,0.8573,running
-0.161346,0.237946,0.2118989999999999,running
0.161636,0.268402,-0.202591,running
0.639954,0.091278,-0.60759,running
1.446991,0.341309,-0.6537930000000001,running
2.367157,2.742355,-0.8376620000000001,running
1.527557,3.523163,-0.95871,running
-0.460571,1.1136469999999998,0.492767,running
-0.029434,0.16037,0.903915,running
0.08136,-0.078247,1.67038,running
0.038116,0.498367,0.659225,running
0.5541689999999999,1.569214,0.891708,running
0.677765,2.198456,0.423599,running
2.015503,2.171051,-0.24025,running
3.220535,1.235291,-1.7025150000000002,running
1.804199,0.331146,-0.791656,running
1.085144,0.170837,-0.395294,running
0.4777369999999999,0.34758,-0.026489,running
0.497314,0.343719,-0.887482,running
0.442673,-0.1651,-0.085892,running
0.548157,-0.5769810000000001,0.382812,running
0.272659,-0.760178,0.156448,running
0.375061,-0.145447,-0.5256649999999999,running
0.430939,0.8790889999999999,-0.513397,running
0.611862,1.59874,-0.065857,running
0.652664,1.9263,-0.128693,running
1.303955,2.364914,-0.164017,running
2.354019,2.667328,-0.56424,running
2.138474,1.843002,0.078171,running
1.33783,1.659515,-0.4598689999999999,running
0.954895,1.367645,-0.5760350000000001,running
0.7973020000000001,0.753052,-0.3516849999999999,running
0.6563260000000001,0.198288,0.082336,running
0.1358339999999999,-0.1060329999999999,0.144501,running
-0.487076,-0.078568,0.4133449999999999,running
-0.920914,-0.4338229999999999,0.468582,running
-1.007645,-0.317337,0.779373,running
-0.343277,0.086136,0.445602,running
0.054245,0.388275,-0.118942,running
0.534058,0.159485,-0.694092,running
1.4644780000000002,0.237701,-0.312927,running
1.190689,0.381363,0.2043,running
1.945755,4.501282,-2.371811,running
0.770569,2.031204,0.8774870000000001,running
-0.2772219999999999,1.309311,0.927032,running
0.214767,0.309021,1.634888,running
